Chromosome,Source,Feature,Start,End,Score,Strand,Frame,TranscriptID
2_RagTag,AUGUSTUS,gene,237459931,237468830,0.16,-,.,g13454
1_RagTag,AUGUSTUS,gene,180156525,180166347,0.12,+,.,g4460
2_RagTag,AUGUSTUS,gene,4038798,4044248,0.02,-,.,g8176
1_RagTag,AUGUSTUS,gene,429907,474910,0.17,-,.,g15
3_RagTag,AUGUSTUS,gene,374628852,374634321,0.06,+,.,g27257
2_RagTag,AUGUSTUS,gene,332804889,332842173,0.02,+,.,g15432
2_RagTag,AUGUSTUS,gene,295833289,295834377,0.92,+,.,g14583
3_RagTag,AUGUSTUS,gene,333093159,333094539,0.13,-,.,g26146
3_RagTag,AUGUSTUS,gene,224737973,224767422,0.37,-,.,g23556
3_RagTag,AUGUSTUS,gene,31571555,31572631,0.64,-,.,g19224
2_RagTag,AUGUSTUS,gene,83110966,83140347,0.1,+,.,g10262
1_RagTag,AUGUSTUS,gene,273074015,273082885,0.06,+,.,g6787
3_RagTag,AUGUSTUS,gene,328485077,328491517,0.3,+,.,g26026
1_RagTag,AUGUSTUS,gene,134519387,134522483,0.45,+,.,g3638
1_RagTag,AUGUSTUS,gene,268977,269512,0.43,-,.,g4
3_RagTag,GeneMark.hmm3,gene,343061222,343068153,.,+,.,gene_id file_2_33074_g; transcript_id file_2_33074_t;
1_RagTag,AUGUSTUS,gene,9228200,9230103,0.08,-,.,g292
3_RagTag,AUGUSTUS,gene,184348022,184348866,0.2,+,.,g22813
1_RagTag,AUGUSTUS,gene,197820469,197845874,0.02,+,.,g4854
2_RagTag,GeneMark.hmm3,gene,377683773,377684312,.,-,.,gene_id file_2_20816_g; transcript_id file_2_20816_t;
2_RagTag,AUGUSTUS,gene,144397710,144402525,0.71,+,.,g11669
2_RagTag,AUGUSTUS,gene,140255461,140256370,0.42,+,.,g11570
1_RagTag,AUGUSTUS,gene,298123684,298139232,0.04,-,.,g7500
1_RagTag,AUGUSTUS,gene,134522832,134523617,0.75,-,.,g3639
2_RagTag,AUGUSTUS,gene,27596034,27596584,0.32,-,.,g8792
2_RagTag,AUGUSTUS,gene,72273350,72273634,0.56,+,.,g9979
3_RagTag,AUGUSTUS,gene,344697798,344702975,0.09,-,.,g26400
1_RagTag,AUGUSTUS,gene,258190479,258203634,0.02,+,.,g6483
1_RagTag,AUGUSTUS,gene,99173865,99200441,0.05,-,.,g3002
1_RagTag,AUGUSTUS,gene,118023746,118024225,0.96,+,.,g3393
ptg000843l,AUGUSTUS,gene,44551,47504,0.07,+,.,g28102
ptg001018l,AUGUSTUS,gene,3180,24062,0.48,+,.,g28257
2_RagTag,AUGUSTUS,gene,21508815,21516721,0.18,-,.,g8603
3_RagTag,AUGUSTUS,gene,364018831,364043509,0.03,+,.,g26931
1_RagTag,AUGUSTUS,gene,16468790,16469679,0.07,+,.,g574
1_RagTag,AUGUSTUS,gene,230485780,230496152,0.31,-,.,g5887
3_RagTag,AUGUSTUS,gene,124750452,124752267,0.18,+,.,g21536
1_RagTag,AUGUSTUS,gene,49426167,49428723,0.45,+,.,g1670
1_RagTag,AUGUSTUS,gene,48088328,48113710,0.05,+,.,g1638
2_RagTag,GeneMark.hmm3,gene,236181978,236182388,.,-,.,gene_id file_2_16980_g; transcript_id file_2_16980_t;
2_RagTag,AUGUSTUS,gene,82226291,82241378,0.9,+,.,g10227
3_RagTag,AUGUSTUS,gene,328975730,329011587,0.04,+,.,g26043
2_RagTag,AUGUSTUS,gene,171742079,171742471,0.47,+,.,g12191
2_RagTag,AUGUSTUS,gene,341835837,341839833,0.05,-,.,g15654
3_RagTag,AUGUSTUS,gene,348135752,348138004,0.41,+,.,g26475
2_RagTag,GeneMark.hmm3,gene,302035530,302035994,.,-,.,gene_id file_2_18657_g; transcript_id file_2_18657_t;
2_RagTag,GeneMark.hmm3,gene,74893997,74895289,.,+,.,gene_id file_2_12697_g; transcript_id file_2_12697_t;
1_RagTag,AUGUSTUS,gene,235410268,235429339,0.01,+,.,g6012
3_RagTag,AUGUSTUS,gene,250495156,250505110,0.83,+,.,g24092
1_RagTag,AUGUSTUS,gene,106907599,106916674,0.1,+,.,g3191
1_RagTag,AUGUSTUS,gene,254500172,254502251,0.02,+,.,g6402
2_RagTag,AUGUSTUS,gene,35886316,35887212,0.98,+,.,g9046
ptg000220l,AUGUSTUS,gene,245392,255560,0.27,-,.,g27422
2_RagTag,AUGUSTUS,gene,74240875,74242523,0.94,+,.,g10031
1_RagTag,AUGUSTUS,gene,52595277,52597514,0.87,+,.,g1763
1_RagTag,AUGUSTUS,gene,87204388,87243040,0.11,+,.,g2769
2_RagTag,AUGUSTUS,gene,305703321,305704640,0.89,-,.,g14789
3_RagTag,AUGUSTUS,gene,132695424,132699918,0.08,-,.,g21698
2_RagTag,AUGUSTUS,gene,156392974,156394531,0.66,-,.,g11869
2_RagTag,AUGUSTUS,gene,32412083,32412658,0.1,+,.,g8969
2_RagTag,AUGUSTUS,gene,202527334,202564487,0.05,-,.,g12863
2_RagTag,AUGUSTUS,gene,439036300,439051875,0.1,-,.,g18066
3_RagTag,AUGUSTUS,gene,284055244,284141301,0.01,+,.,g24876
3_RagTag,AUGUSTUS,gene,320468486,320477599,0.08,+,.,g25808
2_RagTag,AUGUSTUS,gene,251187151,251199637,0.19,+,.,g13716
2_RagTag,AUGUSTUS,gene,96544093,96544437,0.27,+,.,g10641
ptg000453l,AUGUSTUS,gene,416545,435701,0.05,+,.,g27665
3_RagTag,AUGUSTUS,gene,329181634,329182192,0.74,-,.,g26052
2_RagTag,AUGUSTUS,gene,231447690,231448178,0.7,-,.,g13317
1_RagTag,AUGUSTUS,gene,207990604,208011136,0.23,-,.,g5093
3_RagTag,AUGUSTUS,gene,23673031,23731433,0.01,+,.,g18978
1_RagTag,AUGUSTUS,gene,220733888,220734623,0.31,+,.,g5529
2_RagTag,AUGUSTUS,gene,79816861,79827055,0.03,-,.,g10158
3_RagTag,GeneMark.hmm3,gene,281824359,281838961,.,-,.,gene_id file_2_31143_g; transcript_id file_2_31143_t;
2_RagTag,AUGUSTUS,gene,184597951,184605678,0.09,+,.,g12476
3_RagTag,AUGUSTUS,gene,11255421,11260423,0.19,-,.,g18573
1_RagTag,AUGUSTUS,gene,185290126,185291568,0.77,-,.,g4572
3_RagTag,AUGUSTUS,gene,152660739,152674920,0.09,-,.,g22134
1_RagTag,AUGUSTUS,gene,80616539,80617133,0.28,-,.,g2572
2_RagTag,GeneMark.hmm3,gene,430354388,430354778,.,-,.,gene_id file_2_22456_g; transcript_id file_2_22456_t;
1_RagTag,AUGUSTUS,gene,206779903,206804038,0.35,+,.,g5065
3_RagTag,AUGUSTUS,gene,14151522,14152071,0.38,-,.,g18672
1_RagTag,GeneMark.hmm3,gene,23826117,23833400,.,-,.,gene_id file_2_1101_g; transcript_id file_2_1101_t;
3_RagTag,AUGUSTUS,gene,312113697,312115957,0.1,-,.,g25607
2_RagTag,AUGUSTUS,gene,374509942,374518361,0.71,+,.,g16383
3_RagTag,AUGUSTUS,gene,285220940,285221809,0.11,-,.,g24925
1_RagTag,GeneMark.hmm3,gene,307917359,307918168,.,-,.,gene_id file_2_9949_g; transcript_id file_2_9949_t;
3_RagTag,AUGUSTUS,gene,98527802,98553508,0.03,-,.,g20930
1_RagTag,AUGUSTUS,gene,304649297,304711715,0.01,-,.,g7719
2_RagTag,AUGUSTUS,gene,223176636,223179156,0.06,-,.,g13165
2_RagTag,AUGUSTUS,gene,324602811,324619341,0.13,+,.,g15215
2_RagTag,AUGUSTUS,gene,410752689,410753066,0.95,+,.,g17237
2_RagTag,AUGUSTUS,gene,54539761,54550894,0.27,+,.,g9545
3_RagTag,AUGUSTUS,gene,354428498,354429559,0.2,+,.,g26691
1_RagTag,AUGUSTUS,gene,259853218,259861375,0.33,-,.,g6526
ptg000379l,AUGUSTUS,gene,747858,748328,0.5,+,.,g27599
2_RagTag,AUGUSTUS,gene,256649254,256649887,0.88,-,.,g13803
3_RagTag,AUGUSTUS,gene,87125830,87131932,0.24,-,.,g20632
3_RagTag,AUGUSTUS,gene,13106060,13106560,0.98,-,.,g18627
1_RagTag,AUGUSTUS,gene,276287563,276300549,0.01,-,.,g6857
3_RagTag,AUGUSTUS,gene,87212374,87243472,0.03,-,.,g20637
3_RagTag,AUGUSTUS,gene,51507630,51508901,0.18,+,.,g19746
2_RagTag,AUGUSTUS,gene,197605336,197605912,0.08,-,.,g12773
3_RagTag,AUGUSTUS,gene,176379291,176391949,0.08,-,.,g22627
3_RagTag,AUGUSTUS,gene,302738904,302788960,0.02,-,.,g25373
2_RagTag,AUGUSTUS,gene,183439815,183443960,0.07,-,.,g12453
1_RagTag,AUGUSTUS,gene,305647326,305648195,0.58,-,.,g7761
3_RagTag,AUGUSTUS,gene,114456415,114507914,0.01,+,.,g21261
3_RagTag,AUGUSTUS,gene,7547652,7580346,0,-,.,g18439
1_RagTag,AUGUSTUS,gene,314233961,314234992,0.14,+,.,g8036
2_RagTag,AUGUSTUS,gene,441893164,441922415,0.91,-,.,g18117
3_RagTag,AUGUSTUS,gene,49550146,49561461,0.2,+,.,g19703
2_RagTag,AUGUSTUS,gene,355265934,355266800,0.74,-,.,g15981
2_RagTag,AUGUSTUS,gene,219404830,219471204,0.02,-,.,g13110
2_RagTag,GeneMark.hmm3,gene,381951020,381951394,.,+,.,gene_id file_2_20906_g; transcript_id file_2_20906_t;
2_RagTag,AUGUSTUS,gene,253525418,253539600,0.49,+,.,g13748
2_RagTag,AUGUSTUS,gene,415125624,415127201,0.28,+,.,g17410
1_RagTag,AUGUSTUS,gene,192905368,192918101,0.01,-,.,g4772
1_RagTag,AUGUSTUS,gene,313055947,313056730,0.73,-,.,g7981
2_RagTag,AUGUSTUS,gene,112186935,112187487,0.19,+,.,g11069
2_RagTag,GeneMark.hmm3,gene,11949054,11958463,.,+,.,gene_id file_2_10606_g; transcript_id file_2_10606_t;
3_RagTag,AUGUSTUS,gene,308620152,308625712,0.01,+,.,g25517
2_RagTag,AUGUSTUS,gene,82714119,82724791,0.52,-,.,g10244
3_RagTag,AUGUSTUS,gene,179444696,179467924,0.11,-,.,g22697
3_RagTag,GeneMark.hmm3,gene,142620378,142627669,.,-,.,gene_id file_2_27556_g; transcript_id file_2_27556_t;
3_RagTag,AUGUSTUS,gene,57708046,57708587,0.24,-,.,g19910
2_RagTag,AUGUSTUS,gene,110750607,110752508,0.4,-,.,g11023
1_RagTag,AUGUSTUS,gene,272009550,272009993,0.23,-,.,g6758
2_RagTag,AUGUSTUS,gene,421134909,421139864,0.35,-,.,g17580
3_RagTag,AUGUSTUS,gene,95163671,95168167,0.03,+,.,g20858
2_RagTag,AUGUSTUS,gene,309796706,309797414,0.38,-,.,g14875
2_RagTag,AUGUSTUS,gene,29618075,29618398,0.93,-,.,g8868
3_RagTag,AUGUSTUS,gene,371963901,371967190,0.36,-,.,g27171
2_RagTag,AUGUSTUS,gene,88788651,88823087,0.02,+,.,g10389
1_RagTag,AUGUSTUS,gene,26003940,26056187,0.09,+,.,g949
3_RagTag,AUGUSTUS,gene,365760305,365771461,0.98,-,.,g26996
3_RagTag,GeneMark.hmm3,gene,266787872,266788720,.,+,.,gene_id file_2_30708_g; transcript_id file_2_30708_t;
1_RagTag,AUGUSTUS,gene,289776528,289777357,0.63,-,.,g7224
1_RagTag,AUGUSTUS,gene,234455377,234492681,0.06,-,.,g5986
3_RagTag,GeneMark.hmm3,gene,99321206,99331249,.,+,.,gene_id file_2_26301_g; transcript_id file_2_26301_t;
2_RagTag,AUGUSTUS,gene,388183686,388196676,0.03,-,.,g16698
3_RagTag,AUGUSTUS,gene,330054841,330090605,0.05,-,.,g26080
3_RagTag,AUGUSTUS,gene,295879070,295881409,0.1,+,.,g25234
3_RagTag,AUGUSTUS,gene,317217898,317254070,0.01,-,.,g25730
2_RagTag,AUGUSTUS,gene,96547423,96547876,0.71,-,.,g10642
2_RagTag,AUGUSTUS,gene,310833981,310834655,0.66,-,.,g14898
3_RagTag,AUGUSTUS,gene,210276404,210285710,0.15,+,.,g23281
3_RagTag,AUGUSTUS,gene,358436524,358448880,0.22,-,.,g26812
1_RagTag,AUGUSTUS,gene,76387685,76427084,0.01,+,.,g2439
2_RagTag,AUGUSTUS,gene,131896343,131896678,0.36,+,.,g11428
2_RagTag,AUGUSTUS,gene,42443614,42450517,0.09,+,.,g9191
2_RagTag,AUGUSTUS,gene,277078757,277100248,0.59,-,.,g14198
2_RagTag,AUGUSTUS,gene,94561932,94590739,0.06,+,.,g10568
3_RagTag,AUGUSTUS,gene,359346335,359395695,0.21,+,.,g26827
2_RagTag,AUGUSTUS,gene,314625317,314646974,0.07,-,.,g14978
2_RagTag,AUGUSTUS,gene,149824739,149828833,0.35,+,.,g11765
2_RagTag,GeneMark.hmm3,gene,33569963,33586909,.,-,.,gene_id file_2_11365_g; transcript_id file_2_11365_t;
2_RagTag,AUGUSTUS,gene,211579629,211583156,0.09,-,.,g12992
2_RagTag,AUGUSTUS,gene,264040515,264044281,0,+,.,g13940
2_RagTag,AUGUSTUS,gene,116007694,116010689,0.05,+,.,g11134
1_RagTag,AUGUSTUS,gene,305007701,305017976,0.42,-,.,g7728
2_RagTag,AUGUSTUS,gene,23639694,23640583,0.12,+,.,g8680
3_RagTag,AUGUSTUS,gene,225367423,225378906,0.26,-,.,g23565
2_RagTag,AUGUSTUS,gene,247327023,247404858,0.08,+,.,g13647
3_RagTag,AUGUSTUS,gene,12870066,12873120,0.05,-,.,g18623
3_RagTag,AUGUSTUS,gene,186735066,186735979,0.17,-,.,g22861
3_RagTag,GeneMark.hmm3,gene,86016202,86025965,.,+,.,gene_id file_2_25837_g; transcript_id file_2_25837_t;
3_RagTag,AUGUSTUS,gene,11737671,11738247,0.15,-,.,g18590
1_RagTag,AUGUSTUS,gene,86393504,86423140,0.08,+,.,g2751
1_RagTag,GeneMark.hmm3,gene,300443191,300443715,.,+,.,gene_id file_2_9640_g; transcript_id file_2_9640_t;
1_RagTag,AUGUSTUS,gene,284819399,284824935,0.03,+,.,g7095
1_RagTag,AUGUSTUS,gene,181192077,181242764,0.17,-,.,g4474
2_RagTag,AUGUSTUS,gene,417050071,417057373,0.48,-,.,g17458
ptg000980l,AUGUSTUS,gene,2,734,0.86,+,.,g28214
3_RagTag,AUGUSTUS,gene,246286333,246286762,0.68,+,.,g23983
2_RagTag,AUGUSTUS,gene,153633717,153635531,0.29,+,.,g11832
2_RagTag,AUGUSTUS,gene,375162367,375173737,0.12,+,.,g16400
2_RagTag,GeneMark.hmm3,gene,130640252,130641019,.,-,.,gene_id file_2_14345_g; transcript_id file_2_14345_t;
2_RagTag,AUGUSTUS,gene,20132355,20133319,0.65,+,.,g8548
2_RagTag,AUGUSTUS,gene,344968919,345013861,0.13,-,.,g15727
2_RagTag,AUGUSTUS,gene,370187663,370203488,0.2,+,.,g16304
3_RagTag,GeneMark.hmm3,gene,217896424,217902882,.,-,.,gene_id file_2_29434_g; transcript_id file_2_29434_t;
1_RagTag,AUGUSTUS,gene,60369887,60376598,0.01,+,.,g2006
2_RagTag,AUGUSTUS,gene,119223493,119229275,0.08,-,.,g11204
3_RagTag,AUGUSTUS,gene,45250683,45344098,0.07,+,.,g19603
2_RagTag,AUGUSTUS,gene,413019918,413020447,1,-,.,g17321
ptg000794l,AUGUSTUS,gene,1,26511,0.08,+,.,g28037
1_RagTag,AUGUSTUS,gene,250996016,251023992,0.05,-,.,g6311
1_RagTag,AUGUSTUS,gene,12104490,12111456,0.33,+,.,g402
1_RagTag,AUGUSTUS,gene,13607182,13608342,0.78,-,.,g457
1_RagTag,AUGUSTUS,gene,68234017,68245674,0.19,-,.,g2225
3_RagTag,AUGUSTUS,gene,50003115,50005051,0.03,-,.,g19717
2_RagTag,AUGUSTUS,gene,406443598,406465031,0.03,-,.,g17129
1_RagTag,AUGUSTUS,gene,227132946,227134734,0.24,-,.,g5738
ptg000281l,AUGUSTUS,gene,1778295,1788820,0.04,+,.,g27523
2_RagTag,AUGUSTUS,gene,403266467,403271069,0.01,+,.,g17052
2_RagTag,AUGUSTUS,gene,408260089,408265949,0.28,+,.,g17179
3_RagTag,GeneMark.hmm3,gene,148563548,148569058,.,+,.,gene_id file_2_27705_g; transcript_id file_2_27705_t;
2_RagTag,AUGUSTUS,gene,99959464,99966574,0.01,+,.,g10740
3_RagTag,AUGUSTUS,gene,93035070,93084922,0.23,-,.,g20791
3_RagTag,AUGUSTUS,gene,121851504,121857127,0.21,+,.,g21476
1_RagTag,AUGUSTUS,gene,104768483,104773054,0.02,-,.,g3132
2_RagTag,AUGUSTUS,gene,186266228,186267471,0.11,-,.,g12508
2_RagTag,AUGUSTUS,gene,104268097,104294860,0.16,+,.,g10849
1_RagTag,AUGUSTUS,gene,6003047,6023290,0.15,-,.,g203
3_RagTag,AUGUSTUS,gene,117590220,117599807,0.01,+,.,g21367
3_RagTag,AUGUSTUS,gene,4762811,4773943,1,+,.,g18372
3_RagTag,AUGUSTUS,gene,176558809,176570165,0.04,-,.,g22631
3_RagTag,AUGUSTUS,gene,153878713,153889100,0.33,-,.,g22161
1_RagTag,AUGUSTUS,gene,78861511,78877019,0.1,+,.,g2506
2_RagTag,AUGUSTUS,gene,156350589,156382733,0.08,+,.,g11868
3_RagTag,AUGUSTUS,gene,223778767,223779264,0.2,-,.,g23537
1_RagTag,AUGUSTUS,gene,314616746,314636510,0.07,+,.,g8057
1_RagTag,AUGUSTUS,gene,71446456,71472507,0.27,-,.,g2296
2_RagTag,AUGUSTUS,gene,282036898,282055996,0.18,-,.,g14306
1_RagTag,AUGUSTUS,gene,85351473,85352355,0.09,-,.,g2719
1_RagTag,AUGUSTUS,gene,296558007,296575553,0.01,+,.,g7429
3_RagTag,AUGUSTUS,gene,216530191,216545068,0.57,-,.,g23406
3_RagTag,GeneMark.hmm3,gene,187307262,187307697,.,-,.,gene_id file_2_28727_g; transcript_id file_2_28727_t;
ptg001016l,AUGUSTUS,gene,58177,58816,0.06,+,.,g28253
2_RagTag,AUGUSTUS,gene,380294790,380301536,0.01,+,.,g16521
3_RagTag,AUGUSTUS,gene,118557363,118565881,0.04,+,.,g21385
2_RagTag,AUGUSTUS,gene,259377019,259484303,0.01,+,.,g13857
3_RagTag,AUGUSTUS,gene,98870748,98874662,0.04,-,.,g20939
1_RagTag,AUGUSTUS,gene,221110008,221111389,0.24,-,.,g5539
1_RagTag,AUGUSTUS,gene,17300184,17320016,0.02,-,.,g608
3_RagTag,AUGUSTUS,gene,238797315,238810997,0.95,+,.,g23851
2_RagTag,AUGUSTUS,gene,348290308,348290959,0.64,-,.,g15807
3_RagTag,AUGUSTUS,gene,345624445,345625080,0.08,+,.,g26422
1_RagTag,AUGUSTUS,gene,49068088,49091302,0.05,-,.,g1660
2_RagTag,AUGUSTUS,gene,313083710,313172381,0.16,-,.,g14948
1_RagTag,AUGUSTUS,gene,66886082,66887660,0.02,+,.,g2193
2_RagTag,AUGUSTUS,gene,64923950,64935118,0.01,+,.,g9810
2_RagTag,AUGUSTUS,gene,25881742,25920460,0.08,-,.,g8745
ptg000997l,GeneMark.hmm3,gene,17966,18763,.,-,.,gene_id file_2_35294_g; transcript_id file_2_35294_t;
1_RagTag,AUGUSTUS,gene,313774780,313793315,0.11,-,.,g8016
2_RagTag,AUGUSTUS,gene,196587245,196602551,0.26,+,.,g12754
1_RagTag,AUGUSTUS,gene,167365508,167396511,0.25,+,.,g4270
3_RagTag,AUGUSTUS,gene,274119375,274176633,0.02,-,.,g24649
2_RagTag,AUGUSTUS,gene,100194226,100199211,0,-,.,g10746
1_RagTag,AUGUSTUS,gene,134759358,134759628,0.72,+,.,g3644
2_RagTag,AUGUSTUS,gene,373613258,373640358,0.01,+,.,g16365
2_RagTag,AUGUSTUS,gene,146592482,146605659,0.42,-,.,g11716
1_RagTag,AUGUSTUS,gene,78680903,78770172,0.01,+,.,g2503
1_RagTag,AUGUSTUS,gene,236054281,236054841,0.78,-,.,g6026
3_RagTag,AUGUSTUS,gene,140043642,140046076,0.5,+,.,g21867
1_RagTag,AUGUSTUS,gene,201171382,201171917,0.15,+,.,g4929
2_RagTag,AUGUSTUS,gene,307096752,307109189,0.13,-,.,g14821
2_RagTag,AUGUSTUS,gene,64368969,64405836,0.19,-,.,g9798
3_RagTag,AUGUSTUS,gene,231200749,231204516,0.08,+,.,g23732
2_RagTag,AUGUSTUS,gene,439991388,440003332,0.06,+,.,g18085
2_RagTag,AUGUSTUS,gene,163866850,163880122,0.05,-,.,g12028
1_RagTag,AUGUSTUS,gene,45668611,45669000,0.82,-,.,g1562
3_RagTag,GeneMark.hmm3,gene,251957920,251958312,.,-,.,gene_id file_2_30289_g; transcript_id file_2_30289_t;
1_RagTag,AUGUSTUS,gene,80716294,80731399,0.01,-,.,g2582
3_RagTag,AUGUSTUS,gene,143077168,143083156,0.02,+,.,g21958
3_RagTag,GeneMark.hmm3,gene,254511727,254512117,.,+,.,gene_id file_2_30355_g; transcript_id file_2_30355_t;
2_RagTag,AUGUSTUS,gene,160933060,160933637,0.29,+,.,g11966
3_RagTag,AUGUSTUS,gene,2256213,2257569,0.18,-,.,g18258
3_RagTag,AUGUSTUS,gene,104373549,104378683,0.1,+,.,g21064
3_RagTag,AUGUSTUS,gene,149070230,149098794,0.24,-,.,g22074
3_RagTag,AUGUSTUS,gene,94626143,94637031,0.06,+,.,g20844
3_RagTag,AUGUSTUS,gene,322447311,322457881,0.19,-,.,g25880
2_RagTag,AUGUSTUS,gene,317826538,317843915,0.34,-,.,g15068
3_RagTag,AUGUSTUS,gene,8065520,8082603,0.05,-,.,g18449
3_RagTag,AUGUSTUS,gene,276514284,276515133,0.96,-,.,g24718
1_RagTag,AUGUSTUS,gene,232335642,232383527,0.01,-,.,g5934
1_RagTag,AUGUSTUS,gene,127442041,127448280,0.28,+,.,g3517
2_RagTag,AUGUSTUS,gene,303099583,303100399,0.94,-,.,g14718
2_RagTag,AUGUSTUS,gene,242288331,242309798,0.78,-,.,g13535
3_RagTag,AUGUSTUS,gene,177578417,177579337,0.12,+,.,g22653
ptg000587l,AUGUSTUS,gene,27621,59141,0.21,-,.,g27822
1_RagTag,AUGUSTUS,gene,209019961,209021272,0.08,-,.,g5130
3_RagTag,AUGUSTUS,gene,301011015,301023642,0.51,+,.,g25325
ptg000453l,AUGUSTUS,gene,48643,49762,0.05,-,.,g27661
2_RagTag,AUGUSTUS,gene,62742168,62742648,1,+,.,g9765
1_RagTag,AUGUSTUS,gene,251983691,251985440,0.23,-,.,g6349
2_RagTag,AUGUSTUS,gene,218067395,218081924,0.18,+,.,g13080
ptg000528l,AUGUSTUS,gene,41330,41830,0.43,+,.,g27740
2_RagTag,AUGUSTUS,gene,313602145,313602495,0.65,+,.,g14951
2_RagTag,AUGUSTUS,gene,263205322,263210770,0.01,-,.,g13921
2_RagTag,AUGUSTUS,gene,89819796,89820144,0.75,-,.,g10428
1_RagTag,AUGUSTUS,gene,76953318,77029933,0.01,+,.,g2453
1_RagTag,AUGUSTUS,gene,197191253,197192401,0.07,+,.,g4839
1_RagTag,AUGUSTUS,gene,192570225,192576020,0.06,+,.,g4765
2_RagTag,AUGUSTUS,gene,398979513,398979950,0.86,+,.,g16967
ptg000640l,AUGUSTUS,gene,14063,15302,0.4,+,.,g27915
2_RagTag,AUGUSTUS,gene,396931987,396933704,0.09,-,.,g16906
3_RagTag,AUGUSTUS,gene,117285700,117286067,0.24,-,.,g21355
3_RagTag,AUGUSTUS,gene,144501227,144509828,0.22,-,.,g21990
2_RagTag,AUGUSTUS,gene,76136605,76138312,0.07,-,.,g10081
3_RagTag,AUGUSTUS,gene,173561264,173568870,0.37,+,.,g22563
3_RagTag,AUGUSTUS,gene,241834227,241834722,0.86,-,.,g23918
3_RagTag,AUGUSTUS,gene,330456609,330457101,0.41,-,.,g26089
1_RagTag,AUGUSTUS,gene,78027438,78028786,0.66,-,.,g2484
3_RagTag,AUGUSTUS,gene,355238403,355249527,0.01,+,.,g26720
3_RagTag,AUGUSTUS,gene,32655410,32665821,0.06,+,.,g19269
3_RagTag,AUGUSTUS,gene,210338980,210351411,0.23,-,.,g23283
1_RagTag,AUGUSTUS,gene,114332253,114346125,0.03,+,.,g3326
2_RagTag,AUGUSTUS,gene,224224273,224243304,0.17,+,.,g13181
3_RagTag,AUGUSTUS,gene,266322820,266344424,0.03,-,.,g24446
3_RagTag,AUGUSTUS,gene,42284435,42285392,0.49,-,.,g19545
2_RagTag,AUGUSTUS,gene,3759224,3759573,0.09,-,.,g8164
1_RagTag,GeneMark.hmm3,gene,127832414,127833099,.,+,.,gene_id file_2_4501_g; transcript_id file_2_4501_t;
1_RagTag,AUGUSTUS,gene,24498494,24501856,0.04,-,.,g904
3_RagTag,AUGUSTUS,gene,30694140,30703947,0,-,.,g19206
1_RagTag,AUGUSTUS,gene,71791656,71810718,0.03,-,.,g2304
3_RagTag,AUGUSTUS,gene,253729291,253745016,0.35,-,.,g24176
2_RagTag,AUGUSTUS,gene,36728021,36735309,0.29,-,.,g9061
1_RagTag,AUGUSTUS,gene,304609389,304631385,0.02,-,.,g7718
1_RagTag,AUGUSTUS,gene,177920892,177924744,0.09,-,.,g4436
1_RagTag,AUGUSTUS,gene,23380658,23400633,0.2,+,.,g855
2_RagTag,AUGUSTUS,gene,316203428,316231676,0.03,-,.,g15011
1_RagTag,AUGUSTUS,gene,20209879,20233666,0.03,-,.,g736
2_RagTag,AUGUSTUS,gene,275557923,275579118,0.06,+,.,g14167
3_RagTag,AUGUSTUS,gene,335796605,335799403,0.53,-,.,g26213
2_RagTag,AUGUSTUS,gene,326097728,326120148,0.03,+,.,g15276
1_RagTag,AUGUSTUS,gene,38892784,38952250,0,-,.,g1339
2_RagTag,AUGUSTUS,gene,125062460,125074052,0.14,+,.,g11302
2_RagTag,AUGUSTUS,gene,406725716,406750623,0.12,+,.,g17141
1_RagTag,AUGUSTUS,gene,313617898,313618806,0.43,+,.,g8003
3_RagTag,AUGUSTUS,gene,239804145,239806612,0.08,+,.,g23875
2_RagTag,AUGUSTUS,gene,322587340,322587771,0.39,+,.,g15164
1_RagTag,AUGUSTUS,gene,205406994,205417588,0.19,-,.,g5030
3_RagTag,AUGUSTUS,gene,41142471,41160331,0.01,-,.,g19516
2_RagTag,AUGUSTUS,gene,263783510,263784229,0.92,-,.,g13927
2_RagTag,AUGUSTUS,gene,223723576,223726205,0.58,+,.,g13170
3_RagTag,AUGUSTUS,gene,133785837,133791997,0.02,-,.,g21729
2_RagTag,AUGUSTUS,gene,41287387,41288193,0.15,+,.,g9144
3_RagTag,AUGUSTUS,gene,371382750,371383745,0.81,+,.,g27149
3_RagTag,AUGUSTUS,gene,96050738,96051092,0.7,+,.,g20890
3_RagTag,AUGUSTUS,gene,271650086,271666221,0.07,-,.,g24584
2_RagTag,AUGUSTUS,gene,73358250,73375891,0.65,-,.,g9998
2_RagTag,AUGUSTUS,gene,24079667,24098182,0.07,+,.,g8702
3_RagTag,AUGUSTUS,gene,109936487,109946666,0.08,+,.,g21181
2_RagTag,AUGUSTUS,gene,61448608,61449042,0.32,-,.,g9725
2_RagTag,AUGUSTUS,gene,26963121,26980183,0.97,-,.,g8777
3_RagTag,AUGUSTUS,gene,13961789,13962763,0.93,-,.,g18659
3_RagTag,AUGUSTUS,gene,62215562,62221233,0.05,-,.,g20000
2_RagTag,GeneMark.hmm3,gene,35731926,35742436,.,+,.,gene_id file_2_11417_g; transcript_id file_2_11417_t;
2_RagTag,AUGUSTUS,gene,153617728,153629813,0.12,-,.,g11831
1_RagTag,AUGUSTUS,gene,303125785,303126290,0.5,-,.,g7681
2_RagTag,AUGUSTUS,gene,20124184,20131371,0.18,+,.,g8546
